,提现,代扣交易退回积分,售后维权(-) AS售后维权：天猫佣金,淘宝客佣金代扣款
392594298232534,290.66,-1.42,0,-14.2
392627444338776,328,-1.64,0,-16.4
392739714287228,79,-0.35,0,-3.55
392872933349469,124.99,-0.63,0,-6.3
392905490710186,944,-4.72,0,-47.2
392933893590700,107,-0.49,0,-4.95
392985573728034,360.1,-1.8,0,-18
393090587842188,62,-0.27,0,-2.7
393116533317016,311.49,-1.5,0,-15
393189535973927,75.2,-0.06,0,-1.34
393226217695992,96,-0.42,0,-4.25
393295082070575,300.42,-1.5,0,-15.14
393321194008617,864.2,-4.32,0,-43.2
393335094082315,98,-0.42,0,-4.35
393396550188409,76.38,-0.34,0,-3.45
393406351858754,138,-0.64,0,-6.45
393536275859668,123,-0.57,0,-5.75
393983363847816,325.38,-1.64,0,-16.4
394070716762338,325.38,-1.64,0,-16.4
394597690119248,398,-1.99,0,-19.9
81307310000974754,0,0,-94,0
